"","Intercept","beta_cis","beta_trans"
"MBSD_104.counts",1,0,1
"MBSD_106.counts",1,0,1
"MBSD_110.counts",1,0,1
"MBSD_114.counts",1,0,1
"MBSD_119.counts",1,0,1
"MBSD_123.counts",1,0,1
"MBSD_156.counts",1,1,0
"MBSD_158.counts",1,1,0
"MBSD_162.counts",1,1,0
"MBSD_166.counts",1,1,0
"MBSD_168.counts",1,1,0
"MBSD_173.counts",1,1,0
"X177_coldM_geno1",1,0,1
"X182_coldM_geno1",1,0,1
"X187_coldM_geno1",1,0,1
"X192_coldM_geno1",1,0,1
"X194_coldM_geno1",1,0,1
"X198_coldM_geno1",1,0,1
"X177_coldM_geno2",1,1,1
"X182_coldM_geno2",1,1,1
"X187_coldM_geno2",1,1,1
"X192_coldM_geno2",1,1,1
"X194_coldM_geno2",1,1,1
"X198_coldM_geno2",1,1,1
